ProgID,OrgName,ProgName,HEPgoal,IndicGrp,Indicator,ProgObjectv,QAPP,SpatExtnt,TempExtnt,Freq,Reference,Contact
STRM,Lower Raritan Watershed Partnership,Streamkeepers Water Quality Monitoring,"Water Quality, Habitat and Ecological Health","In Situ Parameters, Marine","Water Temperature, Stream Depth, Stream Width, Water Flow, Benthic Index of Biotic Integrity, Presence of debris, erosion and invasive species","To gather and report data, evaluate the health of area streams, and measure the impact of stream restoration projects and stormwater management.",NJDEP Ambient Biomonitoring Network (AMNET),Lower Raritan Watershed (33 locations),2014-present,"2x annually, Spring and Fall",,"Heather Fenyk, Ph.D., AICP/PP, 908.349.0281, hfenyk@lowerraritanwatershed.org 
"
LRWP,"Lower Raritan Watershed Partnership, Rutgers Cooperative Extension, IEC, EPA",Pathogens,Water Quality,Pathogens,"Fecal Coliform, Enterococcus",To monitor non-bathing beach sites with active kayak/canoe launches and/or fishing and other primary contact activities that lack sufficient water quality data.,IEC's Volunteer Monitoring Program QAPP,6 sites - Riverside Park (Piscataway); Rutgers Boathouse at Boyd Park (New Brunswick); Edison Basin Boat Launch; (Edison Township); Ken Buchanan Riverfront Park (Sayreville); Raritan Bay Waterfront Park (South Amboy); 2nd Street / Brighton Avenue Beach (Perth Amboy),2019-present,"1x per week, May-October","STORET/WQX Portal and
https://hydro.rutgers.edu/","Heather Fenyk, Ph.D., AICP/PP, 908.349.0281, hfenyk@lowerraritanwatershed.org 
"
MCHDawq,Monmouth County Department of Health,Ambient Surface Water Quality Monitoring Program,Water Quality,"Dissolved Oxygen, Pathogens, Nutrients, In Situ Parameters","Dissolved Oxygen, E. coli, Ammonia, Phosphorous, Nitrogen, Nitrate, Water Temperature, pH, Turbidity, Conductance","To support NJDEP and local watershed initiatives, track water quality trends through time, establish background water quality, obtain water quality data which can be correlated with specific land uses, provide data to NJDEP in support of the Integrated List.",Y - http://co.monmouth.nj.us/documents/121/2017_2018_Ambient_QAPP.pdf,"Varies (Deal Lake, Wesly-Fletcher-Sylvan, and Whale Pond Brook); 10 select coastal lake locations in 2017",1987-present,"4 times per year or  8 times per year (Feb-March, May-June, Aug-Sept, Nov-Dec).",https://mcapps.co.monmouth.nj.us/Web/HealthDept/Ambients.asp and https://co.monmouth.nj.us/page.aspx?ID=2343,"David Sorensen, 732-431-7456, david.sorensen@co.monmouth.nj.us"
MCHDccm,Monmouth County Department of Health,Cooperative Coastal Monitoring Program,Water Quality,Pathogens,Enterococcus,,Y - http://co.monmouth.nj.us/documents/121/2017_2018_Ambient_QAPP.pdf,"Varies, 48-55 stations",2004-present,Weekly during season; Monthly off-season,https://www.njbeaches.org/,"David Sorensen, 732-431-7456, david.sorensen@co.monmouth.nj.us"
MRRIc,MRRI,Continuous Water Quality Monitoring,Water Quality,"Dissolved Oxygen, In Situ Parameters","Dissolved Oxygen, Water Elevation, pH, Specific Conductance, Turbidity, Salinity, Water Temperature",Continuously monitor and detect any adverse effects of the surrounding District landfills and land uses on water quality on real-time.,"At MERI lab, results are inspected for suspicious values and are updated on the Internet in ?near real time?","Lower Hackensack: Barge Marina, Kearny Point",,Continuous,https://meri.njmeadowlands.gov/projects/continuous-water-monitoring-stations/,"Francisco Artigas, 201-460-2801, FArtigas@njsea.com; Cheryl Yao, Cyao@njsea.com; Joseph Grzyb, jgrzyb@njsea.com"
MRRIr,MRRI,Real-time Tide Gate Monitoring Sites,Water Quality,In Situ Parameters,Depth NAVD88 measurements,Instrument key tide gates in the District so that water levels on the downstream and upstream sides are reported.,,8 key tide gates out of a network of 42 existing tide gates in the NJMC district. ,2017-present,Continuous,https://meri.njmeadowlands.gov/events/tide-gate-sensors-2019/,"Francisco Artigas, 201-460-2801, FArtigas@njsea.com; Cheryl Yao, Cyao@njsea.com; Joseph Grzyb, jgrzyb@njsea.com"
MRRIs,MRRI,Seasonal Water Quality Monitoring,"Water Quality, Port and Maritime","Pathogens, Nutrients, In Situ Parameters, Toxics","Ammonia, 5-day Biochemical Oxygen Demand, Chemical Oxygen Demand, Hardness, Total Dissolved Solids, Total Suspended Solids, Turbidity, Fecal Coliform, Chloride, Bromide, Nitrate, Nitrite, Sulfate, Phosphate, Sodium, Potassium, Calcium, Magnesium, Copper, Iron,  Zinc, Manganese, Nickel, Metals in sediments (Hg, Cr, Cd, Pb)",A general assessment of overall water quality in the Meadowlands.,Yes,"Hackensack River, Penhorn Creek, Mill Creek, Kearny Marsh, Overpeck Creek, Cromakill Creek, Berrys Creek Canal ( 14 stations)",1993-present,4 times annually,(1) http://meri.njmeadowlands.gov/ (2) Historical Data Download - http://data.vistadatavision.com/vdv.php/historical,"Francisco Artigas, 201-460-2801, FArtigas@njsea.com; Cheryl Yao, Cyao@njsea.com"
NPSgate,National Park Service,Ambient Water Quality Monitoring at Gateway National Recreation Area,Water Quality,Pathogens,Enterococcus,"To form a database for the management of park waters for public health and ecological quality. 
",varies,"Jamaica Bay, Staten Island, Sandy Hook",1977-2003,Varies,https://irma.nps.gov/DataStore/Reference/Profile/617517 and park annual reports,Dean Tucker 973-225-3516 dean_tucker@nps.gov
NPSncbn,National Park Service,Northeast Coastal and Barrier Network (NCBN) - Estuarine Nutrient Enrichment Monitoring,"Water Quality, Habitat and Ecological Health","Dissolved Oxygen, Nutrients, In Situ Parameters, Shorelines and Shallows","Dissolved Oxygen, Turbidity, Attenuation of Photosynthetically Active Radiation, Water Temperature, Salinity, Chlorophyll-a, Carbon, Submerged Aquatic Vegetation, Seagrass Condition",To determine nutrient loads to park estuaries are increasing over time and assess how estuarine natural resources are affected by changing nutrient inputs. ,Yes - https://irma.nps.gov/DataStore/Reference/Profile/2218714,"Gateway National Recreation Area, Fire Island National Seashore, and other NPS units",2003-present,Varies,https://science.nature.nps.gov/im/units/ncbn/monitor/estuaries.cfm,Sara Stevens 401-874-4548 sara_stevens@nps.gov
NCbopRept,Nature Conservancy & Billion Oyster Project,New York City Oyster Monitoring Report: 2016-2017,Water Quality,"Dissolved Oxygen, In Situ Parameters","Water Temperature, Dissolved Oxygen, Salinity",Determine water quality in proximity to oyster restoration sites.,,"Brooklyn Bridge Park, Brooklyn Navy Yard, Bush Terminal Park, Governors Island Ecodock, Great Kills Harbor, Lemon Creek Lagoon, Lemon Creek Nursery","2016, 2017",Continuous logging for a few months but not all sites have overlapping logging periods,https://static1.squarespace.com/static/5c5604249b8fe80245a0d052/t/620328c9a54a7e0971d04c11/1644374219578/TNC_BOP_Oyster_Monitoring_Report_2016-2017.pdf,"Mike McCann, The Nature Conservancy,  (845) 546-8264, michael.mccann@tnc.org
OR mccannecology.weebly.com "
NCbopRept,Nature Conservancy & Billion Oyster Project,New York City Oyster Monitoring Report: 2018 ,"Water Quality, Habitat and Ecological Health","Dissolved Oxygen, In Situ Parameters, Marine","Established Oyster Beds, Water Temperature, Dissolved Oxygen, Salinity, pH, Conductivity, Turbidity, Total Dissolved Solids","Monitoring at nursery and reef sites for oyster growth and mortality, and factors that affect oyster performance.",,"Brooklyn Navy Yard, Paerdegat Basin, Coney Island Creek, Governors Island Ecodock, Great Kills Harbor, Lemon Creek Nursery, Lemon Creek Lagoon, Bush Terminal Park",2018,All sites were sampled twice a year for growth; three times a year for water quality,https://static1.squarespace.com/static/5c5604249b8fe80245a0d052/t/5e5ef8039979957341a23e20/1583282210112/TNC_BOP_NYC_2018_Oyster_Monitoring.pdf,"Mike McCann, The Nature Conservancy,  (845) 546-8264, michael.mccann@tnc.org
OR mccannecology.weebly.com "
NCbopRept,Nature Conservancy & Billion Oyster Project,New York City Oyster Monitoring Report: 2018 ,Water Quality,"Dissolved Oxygen, In Situ Parameters","Water Temperature, Dissolved Oxygen, Salinity",Determine water quality in proximity to oyster restoration sites.,,"Brooklyn Navy Yard, Paerdegat Basin, Coney Island Creek, Governors Island Ecodock, Great Kills Harbor, Lemon Creek Nursery, Lemon Creek Lagoon, Bush Terminal Park",2018,Continuous logging from mid June to November,https://static1.squarespace.com/static/5c5604249b8fe80245a0d052/t/5e5ef8039979957341a23e20/1583282210112/TNC_BOP_NYC_2018_Oyster_Monitoring.pdf,"Mike McCann, The Nature Conservancy,  (845) 546-8264, michael.mccann@tnc.org
OR mccannecology.weebly.com "
NCbopRept,"Nature Conservancy, Billion Oyster Project",New York City Oyster Monitoring Report: 2016-2017 ,"Water Quality, Habitat and Ecological Health","Dissolved Oxygen, In Situ Parameters, Marine","Established Oyster Beds, Water Temperature, Dissolved Oxygen, Salinity, pH, Conductivity, Turbidity, Total Dissolved Solids","Monitoring at nursery and reef sites for oyster growth and mortality, and factors that affect oyster performance.",,"Brooklyn Bridge Park, Brooklyn Navy Yard, Bush Terminal Park, Governors Island Ecodock, Great Kills Harbor, Lemon Creek Lagoon, Lemon Creek Nursery","2016, 2017",All sites were sampled at least twice a year for oyster growth; water samples were completed three times per year at all sites except Lemon Creek Lagoon,https://static1.squarespace.com/static/5c5604249b8fe80245a0d052/t/620328c9a54a7e0971d04c11/1644374219578/TNC_BOP_Oyster_Monitoring_Report_2016-2017.pdf,"Mike McCann, The Nature Conservancy,  (845) 546-8264, michael.mccann@tnc.org
OR mccannecology.weebly.com "
HEPtrash,"New York-New Jersey Harbor & Estuary Program, Montclair State University",Stopping Trash Where it Starts ,Water Quality,Floatable Debris,Debris collected on beaches,"To collect data on the types, sources, and conditions that lead to marine debris focusing on the right-of-way. ","QAPP 2017, 2018, 2019, 2022","Passaic River, Hackensack River, Bronx River, Harlem River, and Hudson River",2017-2023,2x per site,https://www.hudsonriver.org/article/stopping-trash-where-it-starts,"Rosana Pedra Nobre, (212) 483-7667, rosana@hudsonriver.org"
HEPbotlau,"New York-New Jersey Harbor & Estuary Program, Waterfront Alliance",On-Water Programs Survey,Public Access and Stewardship,Stewardship and Use,On-Water Programs (# of visitors to boathouse overtime),"Survey of boathouses providing on-water activities in the Harbor Estuary where organizations reported on types of programs they provide, fees, and number of participants over time.",,Harbor Estuary,2010-2017,1 time,,"Elizabeth Balladares, (212) 483-7667, eballadares@hudsonriver.org"
NCA,Newtown Creek Alliance,Water Quality Monitoring,Water Quality,"Dissolved Oxygen, Nutrients, In Situ Parameters","Dissolved Oxygen, Salinity, Water Temperature, Phosphate","in conjunction with the Environmental Science department at LaGuardia Community College, we track parameters like bacteria and oxygen levels at various Creek locations, while also analyzing factors like rainfall and temperature to understand where water quality varies and why",,"Newtown Creek, 7 sites",2016-present,4 to 8 times per month for 26 weeks/year,http://www.newtowncreekalliance.org/water-quality-sampling/,"Willis Elkins, welkins@newtowncreekalliance.org"
AMNET,NJDEP,Ambient Macroinvertebrate Network,Habitat and Ecological Health,Marine,Benthic Index of Biotic Integrity,Rate the stream health based on the composition of the macroinvertebrate community.,Yes - https://www.state.nj.us/dep/wms/bfbm/QAPPs/AMNET-LDL2016-17.pdf,New Jersey - 20 stations,1992-2010,each of the State's five major Water Regions is sampled every 5 years,http://www.state.nj.us/dep/wms/bfbm/amnet.html,"Bureau of Quality Assurance and Environmental Monitoring, Manager: Michele Potter, 609-633-3840"
ECM,NJDEP,Environmental Coastal Monitoring,Water Quality,Pathogens,Enterococcus,To assess water quality at various locations where primary recreation is occurring outside regulated Public Recreational Bathing Beaches.,,11 sites: Middlesex and Monmouth Counties,2020-present,"1x per week, May-September",https://njdep.rutgers.edu/environmental_stations/#data,"Sheri Shifren, Water Monitoring & Standards, Sheri.Shifren@dep.nj.gov"
NJCCM,NJDEP,New Jersey Cooperative Coastal Monitoring Program,Water Quality,Pathogens,Enterococcus,To evaluate nearshore coastal water quality and inform coastal zone management strategies and real-time response to public health concerns.,"QAPP 2013, 2014, 2015, 2017, 2018","Number of stations varies: Monmouth/Ocean Counties river, bay and ocean (core area  - Middletown and Highlands)",1985-present (mid-May to mid-September),Weekly during bathing season,https://www.njbeaches.org/#reports,"Sheri Shifren, Water Monitoring & Standards, Sheri.Shifren@dep.nj.gov"
NJDEPnut,NJDEP,Coastal Water Quality Network,Water Quality,Nutrients,Nutrients,To provide water quality information for assessing the ecological health of New Jersey's coastal waters. ,QAPP 2017 http://www.nj.gov/dep/bmw/docs/Nutrient%20QAPP.pdf,Raritan/Sandy Hook Bays,1989-present,5-10 times/year/site,http://www.nj.gov/dep/bmw/coastalwaterquality.htm,"Robert Schuster, NJDEP,
Robert.Schuster@dep.nj.gov"
NJDEPrealt,NJDEP,Real-time Continuous Water Quality Monitoring,Water Quality,"Dissolved Oxygen, In Situ Parameters","Conductivity, Water Temperature, Depth, Dissolved Oxygen, Salinity, Chlorophyll-a, Turbidity, Pressure, pH, Current Velocity, Specific Conductance",NJDEP deploys two real-time continuous water quality monitoring buoy's in the NY/NJ Harbor.,,Keyport Harbor and Keansburg,2017-present (Annually deployed June-November),15 minute intervals,http://njdep.rutgers.edu/continuous/,"Robert Schuster, NJDEP, Robert.Schuster@dep.nj.gov"
NJDEPibi,NJDEP Bureau of Freshwater and Biological Monitoring,Fish Index of Biotic Integrity,Habitat and Ecological Health,Riparian,Stream Health Bioassessment,Measures the health of a stream based on multiple attributes of the resident fish assemblage.,,New Jersey,2000-present,Every 5 years,https://www.state.nj.us/dep/wms/bfbm/ibipagemain.htm OR https://www.waterqualitydata.us/),"Leigh Lager, Leigh.Lager@dep.nj.gov"
NJDEPshell,NJDEP Bureau of Marine Water Monitoring,Shellfish Monitoring & Standards,Water Quality,"Dissolved Oxygen, Pathogens, Nutrients, In Situ Parameters","Water Temperature, Fecal Coliform, Total Coliforms, Dissolved Oxygen, Nutrients, Biotoxins ",To determine whether and how the harvest of shellfish from waters must be restricted in order to protect the public from health risks associated with the consumption of shellfish.,QAPP,# of station varies: Raritan/Sandy Hook Bays; Navesink River Seasonal; Shrewsbury River ,1912-present,Reactive Routine sampling conducted 10 times per year,https://www.nj.gov/dep/bmw/nssphome.html,"Robert Schuster, NJDEP, Robert.Schuster@dep.nj.gov"
NJHDGamb,NJHDG,New Jersey Harbor Dischargers Group,Water Quality,"Dissolved Oxygen, Pathogens, Nutrients, In Situ Parameters","Dissolved Oxygen, Water Temperature, pH, Salinity, Transparency (Secchi), Fecal Coliform, Enterococcus, E. coli, Total Suspended Solids, Ammonia, Total Kjedahl Nitrogen, Nitrate, Nitrite, Total Phosphorus, Orthophosphosphate, Dissolved Organic Carbon, Chlorophyll-a",To develop a comprehensive database on the existing water quality of the NY/NJ Harbor by routinely and extensively monitoring the waters.,"Y 2015 with addenda for 2016, 2017 and 2018.","34 stations total: Hackensack River, Newark bay, Passaic river (both saline & FW), Elizabeth R, Raritan R and Bay, Hudson R, Arthur Kill",2004-present,"Monthly from Oct-April, bi-weekly May-June, weekly July-Sept.",http://www.nj.gov/pvsc/what/njhdg/,"Greg Alber, GAlber@pvsc.com"
NOAAben,NOAA,Benthic Surveillance,Port and Maritime,Toxics,"Metals in Sediment (Hg, Cr, Cd, Pb), PCBs",To determine the current status of and to detect any long-term trends in the environmental quality of U.S. nearshore waters.,,Long Island Sound and Raritan Bay: 13 stations,1984-1993,,https://products.coastalscience.noaa.gov/collections/ltmonitoring/nsandt/data2.aspx,NCCOS.data@noaa.gov
NOAAbio,NOAA,Magnitude and Extent of Sediment Toxicity in the Hudson-Raritan Estuary - Bioeffects Assessments,Port and Maritime,Toxics,"Metals in Sediment (Hg, Cr, Cd, Pb), PCBs",(1) Determine the presence and severity of toxic responses; (2) Estimate the spatial extent of toxicity; (3) Identify spatial patterns of toxicity in each system; (4) Characterize the relationships between toxicity and the concentrations of potential toxicants in the sediments. ,Yes,Hudson-Raritan Estuary: 117 stations,1991,,https://products.coastalscience.noaa.gov/collections/ltmonitoring/nsandt/data2.aspx,"Greg Piniak, greg.piniak@noaa.gov"
NOAAmussel,NOAA,Mussel Watch,Port and Maritime,Toxics,"PCBs, PAHs in Sediment",To evaluate the chemical and microbial contamination status of the estuaries and coasts of the US.,,"Battery Park, Brown Island, Fort Wadsworth, Jamaica Bay, Liberty Island, Lower Bay, Raritan Bay, Sandy Hook, and Upper Bay",1985-2011,1-5 samples every 2 years,https://products.coastalscience.noaa.gov/collections/ltmonitoring/nsandt/data2.aspx,"Greg Piniak, greg.piniak@noaa.gov"
BayEarl,NY/NJ Baykeeper,Hudson-Raritan Estuary Oyster Reintroduction,Habitat and Ecological Health,Marine,Established Oyster Beds,Restoration of bivalves and subtidal habitat and Eco volunteer Program.,,"Soundview Park, Bronx River",2009-present,,,"Meredith Comi, meredith@nynjbaykeeper.org"
BayPlast,NY/NJ Baykeeper,NY-NJ Harbor Estuary Plastic Collection Report ,Water Quality,Contaminants of Emerging Concern,Microplastics,"Assess the sizes, types, and concentrations of plastics in NY-NJ Harbor Estuary waters.",,18 sites in NY/NJ harbor,2015 (March-August),18 samples collected for one time study,http://nynjbaykeeper.org/plastics-report/,"Meredith Comi, meredith@nynjbaykeeper.org"
BayShore,NY/NJ Baykeeper,Citizen Science Monitoring for Pathogen Indicators Along the NJ Raritan Bayshore.,Water Quality,"Dissolved Oxygen, Pathogens, In Situ Parameters","Water Temperature, Salinity, Dissolved Oxygen, pH, Enterococcus",Participate in a citizen science monitoring project to collect data and information on water quality for beaches along the Raritan Bayshore that are considered non-bathing beaches.,Citizen Science QAPP April 2016,"Raritan Bay, 9 sites",2016 (June-October),5x per month for on time study,STORET,"Meredith Comi, meredith@nynjbaykeeper.org"
BayTribs,NY/NJ Baykeeper,Citizen Science Monitoring for Pathogen Indicators NY/NJ Tributaries ,Water Quality,"Dissolved Oxygen, Pathogens, In Situ Parameters","Water Temperature, Salinity, Dissolved Oxygen, pH, Enterococcus",Participate in a citizen science monitoring project to collect data and information on water quality for sites along Matawan Creek and South River. ,Citizen Science QAPP April 2013,"South River, 4 sites; Matawan Creek, 6 sites",2014 (June-August),5x per month for on time study,STORET,"Meredith Comi, meredith@nynjbaykeeper.org"
BayCues,NY/NJ Baykeeper and Rutgers CUES,Hudson-Raritan Estuary Oyster Reintroduction,Habitat and Ecological Health,Marine,Established Oyster Beds,Restoration of bivalves and subtidal habitat ,,Oyster reefs at Naval Weapons Station Earle (NWSE) ,2006-present,, http://nynjbaykeeper.org/resources-programs/restoration/ OR https://cues.rutgers.edu/oyster-restoration/,"Meredith Comi, meredith@nynjbaykeeper.org "
NYCaudubon,NYC Audubon,Harbor Herons Project,Habitat and Ecological Health,Wetlands,Nesting pairs of Harbor Herons,"Survey of long-legged wading bird, cormorant, and gull nesting activity observed on selected harbor islands, as well as aids to navigation and selected mainland sites.",yes,"20 islands and ""selected mainland sites"" -  Davids? Island in the Hutchinson River/Long Island Sound area; Isle of Meadows and Prall?s and Shooters Islands in the Arthur Kill and Kill Van Kull; and Canarsie Poll and Ruffle Bar in Jamaica Bay.",1982-present,Annually between May-July with variations,http://www.nycaudubon.org/issues-of-concern/harbor-herons,"Dustin Partridge
Dpartridge@nycaudubon.org"
NYCDEPbeac,NYC Department of Health and Mental Hygiene,NYC Beach Surveillance and Monitoring Program,Water Quality,Pathogens,Enterococcus,To conduct routine water quality monitoring and inspections of beach facilities. ,,"25 beaches (8 public, 17 private); Lower NY Harbor, Eastchester Bay, Western LIS, Atlantic Ocean, and the Lower NY Bay",2009-present (April - September),Weekly/bi-weekly,(1) http://www1.nyc.gov/site/doh/health/health-topics/beach-class.page#report (2) http://maps.nyc.gov/beach/,"Jessica Bonamusa, jbonamusa@health.nyc.gov"
NYCcoastal,NYC Parks,Coastal Shoreline Monitoring and Mapping,Habitat and Ecological Health,Shorelines and Shallows,Percent & Distribution of Natural Shorelines/Natural and Engineered Shorelines,NYCcoastal,,"6 sites - Coney Island Beach & Boardwalk, Conference House Park, Crescent Beach Park, New Dorp Park, Rockaway Beach, South Beach Wetlands",2015-present,Annually,,Jamie Ong
NYCfish,NYC Parks,Post fish stocking monitoring,Habitat and Ecological Health,Marine,Estuarine & Diadromous Fish Abundance,Survival rate of fish stocking in Bronx River,,Bronx Park,2017-2020,Daily,,Kristin Hudgins
NYCDEPhw,NYCDEP,New York Harbor-wide Survey Program,Water Quality,"Dissolved Oxygen, Pathogens, Nutrients, In Situ Parameters","Dissolved Oxygen, Fecal Coliform, Enterococcus, Transparency (secchi), Water Temperature, Nutrients, Salinity, Chlorophyll-a",Sampling ambient waterbody stations to assess overall water quality.,,"70 permanent stations, but additional stations may have been sampled depending on the year; all NYC waterways & tributaries",1909-present (varies per indicator),Sampling occurs year round. Weekly from June - September; monthly from October - May. ,http://www.nyc.gov/html/dep/html/harborwater/harbor_water_sampling_results.shtml,"Beau Ranheim, branheim@dep.nyc.gov, 718-610-1828"
NYCDEPcont,NYCDEP Marine Science Section,Continuous Monitoring Program,Water Quality,"Dissolved Oxygen, In Situ Parameters","Conductivity, Water Temperature, Pressure, Dissolved Oxygen, pH, Chlorophyll-a, Turbidity",,,Estuary - 4 sites,2013-2022,Continuous,Must email Beau for access to data,"Beau Ranheim, branheim@dep.nyc.gov, 718-610-1828"
NYCWTA,NYCWTA,Citizen's Water Quality Testing Program ,Water Quality,Pathogens,Enterococcus,"To create a baseline of data that, when correlated with rain and tide information, can help better inform boaters and other recreational users of the harbor of likely water quality at their preferred access points and launch sites.",No,Variable depending on the year. 62 sites in 2017 across all NYC boros + a few NJ sites,2011-present,Weekly (May-September),http://www.nycwatertrail.org/water_quality.html,"Rob Buchanan, avironvoile@gmail.com"
DECanafish,NYSDEC,Anadromous fish surveys,"Habitat and Ecological Health, Climate Change",Marine,"Estuarine & Diadromous Fish Abundance, Resetting Natural Clocks",Managing diadromous fishes,No,Hudson River from the George Washington Bridge in New York City to the Federal Dam located in Troyÿ,1983-present,Bi-weekly end of June - early November,https://www.dec.ny.gov/animals/6945.html,"HudsonRiverFish@dec.ny.gov
Rich Pendleton, Chris Bowser"
DECrapid,NYSDEC,Rapid Biological Assessment Surveys (RAS) Intensive Monitoring,Habitat and Ecological Health,Marine,Benthic Index of Biotic Integrity,To make water quality assessments for an entire or specific portion of a waterbody and to provide background data on water quality. ,QAPP,"Varies, but usually focused at the sub-watershed level",,2-3 RAS studies per year typical,,"Alexander Smith, DOWinformation@dec.ny.gov"
DECribs,NYSDEC,Rotating Integrated Basin Studies (RIBS) Screening,Habitat and Ecological Health,Marine,Benthic Index of Biotic Integrity,"To assess water quality of all waters of the state, including the documentation of good quality waters and the identification of water quality problems; identify long-term water quality trends; characterize naturally occurring or background conditions; and establish baseline conditions for use in measuring the effectiveness of site-specific restoration and protection activities. ",QAPP,Varies,"2017, 2018, 2022, 2023 (https://www.dec.ny.gov/chemical/29576.html)","Each basin every five years, 3-4 basin per year",,"Alexander Smith, DOWinformation@dec.ny.gov"
DECribs,NYSDEC,Rotating Integrated Basin Studies (RIBS) Routine ,"Water Quality, Port and Maritime","Nutrients, In Situ Parameters, Toxics","Water Temperature, Nutrients, Total Suspended Solids, Metals in sediment (Hg, Cr, Cd, Pb), Total Organic Carbon, Dissolved Organic Carbon, Phenolic Compounds, Total Phenolics","To allow for the determination of the overall quality of waters, trends in water quality, and identification of water quality problems and issues.",QAPP,Network of 40 sites,"2017, 2018, 2022, 2023 (https://www.dec.ny.gov/chemical/29576.html)", Each routine site is sampled 4 times per year. ,,"Alexander Smith, DOWinformation@dec.ny.gov"
DECstream,NYSDEC,Rotating Intergrading Basin Studies ,Habitat and Ecological Health,Riparian,Stream Health Bioassessment,Assessment of stream health,Yes ,each major watershed in NY state,1972 - present,"Every 5 years, varies",https://nysdec.maps.arcgis.com/apps/webappviewer/index.html?id=692b72ae03f14508a0de97488e142ae1,"Brian Duffy, DOWinformation@dec.ny.gov OR Alene Onion, wave@dec.ny.gov"
HRECOS,NYSDEC,Hudson River Environmental Conditions Observing System,Water Quality,"Dissolved Oxygen, In Situ Parameters","Dissolved Oxygen, Salinity, Water Temperature, Depth, Turbidity, pH, Specific Conductance","To improve the capacity of regional river and estuary stakeholders to: understand the ecosystem and manage water resources, provide baseline monitoring data necessary for applied research and modeling, support the use of real-time data in educational settings, provide policy makers and emergency managers with data products to guide decision making, and provide information for safe and efficient commercial use and recreational activities.",QAPP 2013 - www.hrecos.org,"Hudson River, Mohawk River, Newark Bay", 2008-present,Continuous (every 15 minutes); some stations are seasonal,"https://ny.water.usgs.gov/maps/hrecos/, http://cdmo.baruch.sc.edu/dges/","Ann Olsson, ann.olsson@dec.ny.gov"
DECLCI,NYSDEC ,Lake Classification Inventory (LCI): Screening and Intensive Monitoring of Ponded Waters,Water Quality,"Dissolved Oxygen, Nutrients, In Situ Parameters","Water Temperature, Dissolved Oxygen, pH, Conductivity, ORP, Water Clarity, Ammonia, Total Nitrogen, Nitrate, Nitrite, Total Phosphorus, Dissolved Phosphorus, Arsenic, Calcium, Chloride, Copper, Iron, Magnesium, Manganese, Potassium, Sodium, Sulfate, Chlorophyll-a, UV-254, True Color, Total Alkalinity, Total Organic Carbon, Dissolved Organic Carbon",To support various water quality management functions and update the Division of Water's Waterbody Inventory/Priority Waterbody List.,QAPP,Varies,,3-4 screening basins per year along with 3-4  intensive basins per year,https://nysdec.maps.arcgis.com/apps/webappviewer/index.html?id=692b72ae03f14508a0de97488e142ae1,"Scott Kishbaugh, DOWinformation@dec.ny.gov

Thomas Niekrewicz"
DECcontam,NYSDEC Bureau of Ecosystem Health ,Contaminant Monitoring Program,Port and Maritime,Toxics,"PCBs, Metals in sediment (Hg, Cr, Cd, Pb), Xenobiotics, Loading of contaminants","To carry out and report on biological monitoring related to contaminant track down, fish consumption advisories, contaminated site cleanup, and biotic disturbances resulting from pesticides and other chemicals and toxic substances in the aquatic environment.",,Hudson River,"2004-2009, 2010-2012, present",Varies,Data available upon request,"Wayne Richter, (518) 402-8974, wayne.richter@dec.ny.gov
Chuck Nieder, (518) 402-9216, chuck.nieder@dec.ny.gov"
DEChsc,"NYSDEC, Cornell University, NYC Audubon",NY Horseshoe Crab Spawning Survey,Habitat and Ecological Health,Shorelines and Shallows,Horseshoe Crab Abundance,To monitor Horseshoe Crab spawning areas,Yes - http://nyhorseshoecrab.org/NY_Horseshoe_Crab/Big_Egg_files/Quadrat%20Protocol.pdf,"4 locations in Jamaica Bay,2 in Coney Island area and 2 in Staten Island","2007-2018, present",Annually,,"Kim McKown, kim.mckown@dec.ny.gov"
DECrai,"NYSDEC, NY Natural Heritage Program",Statewide Riparian Opportunity Assessment,Habitat and Ecological Health,Riparian,"Riparian Area Integrity, Streamside Vegetation",To support the identification and prioritization of riparian sites for restoration or protection (riparian area assessment). This also includes Trees for Tribs Program.,,New York State,"2001, 2016-2018",,http://www.nynhp.org/treesfortribsny,"Matthew Buff, matthew.buff@dec.ny.gov; Beth Roessler"
DECwhale,"NYSDEC, NY Natural Heritage Program",New York Bight Whale Monitoring Aerial Surveys,Habitat and Ecological Health,Marine,Whale & Dolphin Abundance,"To estimate density and abundance of North Atlantic Right, Fin, Humpback, Sei, Sperm, and Blue Whales along with other marine mammals and sea turtles.",Yes- http://nynhp.org/files/whales/NY_whale_monitoring_report_30June2014.pdf,"NY Bight: 43,449 square km from South shore of Long Island to the continental shelf break",2017-2020,Monthly,https://www.dec.ny.gov/lands/113647.html,"Meghan Rickard, meghan.rickard@dec.ny.gov"
DECeel,"NYSDEC, Sarah Lawrence College",Citizen Science American Eel Surveys,"Water Quality, Habitat and Ecological Health","Dissolved Oxygen, In Situ Parameters, Marine, Riparian","Dissolved Oxygen, Turbidity, pH, Estuarine & Diadromous Fish Abundance, Tributary Habitat Connectivity",Collect glass eels using specialized nets and traps on Hudson River tributaries each spring.,Atlantic States Marine Fisheries Commission (ASMFC) Protocols,Hudson River and tributaries,2008-present,annually,https://www.centerfortheurbanriver.org/research/eels.html,"Chris Bowser, NYSDEC, christopher.bowser@dec.ny.gov, eelproject@dec.ny.gov"
